county,zip,city,note
"Cedar County, IA",52747,Durant,"ZIP overlaps Muscatine County, IA"
"Clinton County, IA",52729,Calamus,"ZIP overlaps Scott County, IA"
"Henry County, IL",61273,Orion,"ZIP overlaps Rock Island County, IL"
"Louisa County, IA",52754,Letts,"ZIP overlaps Muscatine County, IA"
"Mercer County, IL",61272,New Boston,"ZIP overlaps Rock Island County, IL"
"Mercer County, IL",61281,Sherrard,"ZIP overlaps Rock Island County, IL"
"Muscatine County, IA",52720,Atalissa,
"Muscatine County, IA",52739,Conesville,
"Muscatine County, IA",52749,Fruitland,
"Muscatine County, IA",52759,Montpelier,
"Muscatine County, IA",52760,Moscow,
"Muscatine County, IA",52761,Muscatine,
"Muscatine County, IA",52766,Nichols,
"Muscatine County, IA",52769,Stockton,
"Muscatine County, IA",52776,West Liberty,
"Muscatine County, IA",52778,Wilton,
"Rock Island County, IL",61201,Rock Island,
"Rock Island County, IL",61204,Rock Island,PO Box only
"Rock Island County, IL",61232,Andalusia,
"Rock Island County, IL",61236,Barstow,
"Rock Island County, IL",61237,Buffalo Prairie,
"Rock Island County, IL",61239,Carbon Cliff,
"Rock Island County, IL",61240,Coal Valley,
"Rock Island County, IL",61242,Cordova,
"Rock Island County, IL",61244,East Moline,
"Rock Island County, IL",61256,Hampton,
"Rock Island County, IL",61257,Hillsdale,
"Rock Island County, IL",61259,Illinois City,
"Rock Island County, IL",61264,Milan,
"Rock Island County, IL",61265,Moline,
"Rock Island County, IL",61266,Moline,PO Box only
"Rock Island County, IL",61275,Port Byron,
"Rock Island County, IL",61278,Rapids City,
"Rock Island County, IL",61279,Reynolds,
"Rock Island County, IL",61282,Silvis,
"Rock Island County, IL",61284,Taylor Ridge,
"Rock Island County, IL",61299,Rock Island,PO Box only
"Scott County, IA",52722,Bettendorf,
"Scott County, IA",52726,Blue Grass,
"Scott County, IA",52728,Buffalo,
"Scott County, IA",52745,Dixon,
"Scott County, IA",52746,Donahue,
"Scott County, IA",52748,Eldridge,
"Scott County, IA",52753,Le Claire,
"Scott County, IA",52756,Long Grove,
"Scott County, IA",52758,Mc Causland,
"Scott County, IA",52765,New Liberty,
"Scott County, IA",52767,Pleasant Valley,
"Scott County, IA",52768,Princeton,
"Scott County, IA",52773,Walcott,
"Scott County, IA",52801,Davenport,
"Scott County, IA",52802,Davenport,
"Scott County, IA",52803,Davenport,
"Scott County, IA",52804,Davenport,
"Scott County, IA",52805,Davenport,PO Box only
"Scott County, IA",52806,Davenport,
"Scott County, IA",52807,Davenport,
"Scott County, IA",52808,Davenport,PO Box only
"Scott County, IA",52809,Davenport,PO Box only
